Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2014-02-11,"26,220","-4,182,200","5,407,800","-1,234,400","-766,950","-84,100","-269,650","13,750","43,600","212,700","24,950","-16,150","-369,000"
2014-02-10,"25,540","-454,700","2,299,700","-1,770,550","-216,100","-375,150","-684,150","37,950","-26,400","-175,100","-64,100","-10,350","-154,200"
2014-02-07,"25,500","-665,350","1,742,600","-1,042,600","-663,050","-100,900","-142,600","7,100","-2,200","-47,350","-19,400","-15,250","-49,500"
2014-02-06,"25,180","-412,850","-484,750","927,250","-68,250","509,250","74,950","19,900","-1,100","66,400","-26,050","-3,600","347,350"
2014-02-05,"24,740","2,561,550","-2,763,550","197,150","-52,900","205,750","318,500","-26,300","-29,900","-159,900","-22,800","27,650","-139,900"
2014-02-04,"24,980","2,621,700","-2,454,700","-340,900","-444,750","-586,850","-167,300","-44,500","2,900","662,050","162,900","11,000","-141,900"
2014-02-03,"25,440","498,250","-1,708,250","1,182,750","-61,900","-82,650","345,600","61,600","14,200","567,100","22,350","4,900","369,550"
2014-01-29,"25,600","1,841,950","-826,100","-769,350","-18,400","-391,350","442,350","102,650","-39,500","-102,500","-249,600","3,100","-299,300"
2014-01-28,"25,660","1,035,300","-2,168,900","1,142,600","762,550","-47,750","-185,550","26,050","2,750","972,050","-11,650","2,650","-375,400"
2014-01-27,"25,840","-284,250","-939,600","1,270,650","693,300","311,350","473,300","169,050","-37,700","-402,700","-58,550","11,750","65,500"
2014-01-24,"26,140","10,800","1,716,750","-1,863,500","269,800","14,100","-47,700","-51,050","2,600","-2,091,950","131,850","4,100","132,900"
2014-01-23,"25,980","1,518,850","196,100","-1,684,650","96,100","-342,100","-354,450","-158,000","-1,500","-897,300","-36,000","5,700","-13,900"
2014-01-22,"26,560","-629,200","565,950","75,150","-57,450","261,950","-294,700","-14,100","1,050","-104,050","-14,400","2,500","284,350"
2014-01-21,"26,480","-1,374,850","1,746,650","-77,750","-213,800","161,950","-64,550","-28,250","7,800","70,800","-289,150","-4,900","5,450"
2014-01-20,"26,320","-1,289,600","1,482,000","165,450","-170,700","-31,600","-163,800","-3,550","4,650","380,400","-360,450","2,600","116,650"
2014-01-17,"25,840","251,200","-412,200","131,400","-395,650","348,000","-97,600","17,150","35,100","182,050","28,200","1,400","-44,800"
2014-01-16,"26,020","224,500","-480,700","272,400","669,550","-169,050","41,300","-2,950","12,600","-179,050","-16,650",450,"-69,100"
2014-01-15,"25,980","914,450","-454,000","-560,350","-370,900","-52,750","577,150","23,800","6,650","-214,350","84,900","15,000","-480,650"
2014-01-14,"26,260","-2,835,400","1,861,650","997,950","-749,150","-327,300","702,800","-13,450","16,350","830,500","-15,650","-8,550","344,900"
2014-01-13,"25,900","-1,351,250","1,625,850","-226,750","-473,500","-319,550","560,900","-22,400","-22,550","57,850","-52,250","4,400","-6,700"
2014-01-10,"25,440","1,030,650","-438,700","-649,850","-485,000","-343,100","229,900","1,200","26,100","-18,700","50,650","7,250","-66,950"
2014-01-09,"25,500","4,055,500","483,700","-4,821,000","-2,795,300","-689,800","-392,450","137,900","23,200","-1,013,600","255,000","26,800","-63,400"
2014-01-08,"25,820","1,210,250","2,250,150","-3,548,200","-782,650","-377,250","-549,800","70,050","-3,750","-1,647,050","110,650","-22,850","-126,350"
2014-01-07,"26,080","-66,450","3,904,000","-3,619,300","-986,150","-655,700","-509,250","-30,250","-35,550","-1,348,100","-212,800","-5,450","-16,000"
2014-01-06,"26,140","518,650","1,173,750","-1,823,300","-1,701,500","16,900","284,250","-38,900","20,150","-443,400","130,350",550,"200,300"
2014-01-03,"25,920","6,559,300","-6,558,000","-270,600","-1,625,750","-388,550","1,081,600","-143,050","-4,500","932,600","236,250","33,050","-172,950"
2014-01-02,"26,180","9,687,600","-8,449,900","-1,572,800","-434,100","-180,750","-15,600","-148,300","-246,300","-755,950","158,900","176,200","286,200"
2013-12-30,"27,440","3,240,200","-899,600","-2,338,050","435,450","-1,124,700","-336,050","-81,800","-72,750","-837,050","-63,700","61,150","-46,950"
2013-12-27,"27,920","2,538,950","3,196,650","-5,658,250","-565,800","-852,050","-1,749,300","-143,200","-25,900","-1,112,350","-37,800","-39,550","-565,850"
2013-12-26,"28,160","-4,561,200","1,009,500","3,855,600","2,776,000","820,500","960,150","-89,400","-16,800","-322,900","-278,800","-25,100","-1,900"
2013-12-24,"28,300","-1,704,600","387,000","1,632,600","1,955,950","1,037,850","24,850","-83,850","19,500","-931,650","-309,400","-5,600","-164,350"
2013-12-23,"28,660","-2,906,700","2,404,650","963,200","1,498,350","372,850","-21,800","-21,900","20,750","-805,600","-177,100","-284,050","34,350"
2013-12-20,"28,540","-726,850","794,050","508,800","635,050","-154,300","114,550","-19,700","140,250","-37,750","-582,750","6,750","-79,400"
2013-12-19,"28,540","-3,490,550","3,488,150","156,250","470,150","-6,650","-414,300","-41,200","87,650","108,550","-144,150","-9,700","-18,850"
2013-12-18,"28,020","-230,200","-663,950","859,000","1,363,650","-241,450","714,750","-17,150","-11,650","-432,950","83,350","-48,200","-244,850"
2013-12-17,"27,900","204,900","-541,900","398,550","600,900","-208,100","248,950","-16,000","-13,600","-199,450","-63,350","1,800","49,500"
2013-12-16,"28,000","71,050","351,600","-464,650","-29,200","-289,450","328,450","36,200","6,850","-466,650","6,950","35,050","19,350"
2013-12-13,"27,800","2,608,100","-2,082,150","-436,900","364,250","-280,600","-374,600","153,600","2,000","-375,400","-105,100","16,050","-81,000"
2013-12-12,"28,200","2,556,150","-5,573,450","3,096,250","-484,850","765,900","1,230,450","294,200","20,000","1,403,850","-91,900","12,950","-30,150"
2013-12-11,"28,400","2,770,300","-1,577,850","-1,285,600","-411,250","-306,400","-26,300","46,050","-46,750","-67,650","61,050","32,100","-417,450"
2013-12-10,"28,800","155,950","30,650","-45,800","-55,700","-328,900","-372,550","-21,900",,"511,400","-115,350","-25,450","264,600"
2013-12-09,"29,080","-1,566,850","2,537,600","-601,550","-203,000","272,300","-170,150","-127,300","-15,550","-473,100","-165,300","-203,900","293,850"
2013-12-06,"28,560","1,187,500","1,244,650","-2,368,700","-385,950","-476,500","-643,200","-307,450","-10,400","364,050","-60,000","-3,450","-830,550"
2013-12-05,"28,800","1,433,900","-314,800","-1,036,050","-1,300,100","-232,750","72,850","-35,500",,"226,900","-89,350","6,300","137,800"
2013-12-04,"28,640","4,211,000","-4,903,900","589,350","-744,600","263,950","232,650","26,250","25,000","428,750","68,000","35,550","40,950"
2013-12-03,"29,220","-307,150","832,400","-448,850","-914,700","4,500","232,350","-220,200",-350,"280,900","-76,300",-100,"129,450"
2013-12-02,"29,340","62,000","711,000","-671,950","-235,450","-83,550","-66,400","54,650",,"-330,400","-96,700","-4,350","17,500"
2013-11-29,"29,880","-965,800","1,792,000","-801,750","665,400","-172,150","-799,850","-195,400",-850,"-239,500","-27,500","3,050","-54,200"
2013-11-28,"29,880","-4,744,100","3,407,400","1,783,650","2,816,000","-173,650","-255,100","-544,050","18,200","194,050","-406,450","-40,500","-13,950"
2013-11-27,"29,400","-58,650","-746,150","833,950","1,408,500","-59,100","-701,650","108,600","28,400","311,150","-29,550",400,"-324,050"
2013-11-26,"29,580","-1,107,550","840,350","277,800","158,550","15,350","-75,750","23,600","-6,850","141,050","-12,600","2,000","13,900"
2013-11-25,"29,300","-1,699,250","1,281,800","474,900","604,300","90,600","72,400","-27,900","9,000","-265,050","-43,800","-13,650",150
2013-11-22,"29,000","498,250","-491,400","-4,300","93,900","-63,550","251,750","-190,900","-5,500","-147,550","16,550","-19,100","11,950"
2013-11-21,"28,800","2,108,700","-2,058,950","-203,050","-1,140,850","47,650","41,600","90,400","-33,650","487,350","143,650","9,650","41,050"
2013-11-20,"29,400","-370,950","-1,163,750","1,560,550","559,000","790,350","-79,000","101,650",,"117,500","-34,100","8,250","21,700"
2013-11-19,"29,780","-2,839,100","2,564,250","366,550","762,450","-123,550","-68,400","-30,400","-189,850","-67,250","-85,150","-6,550","118,450"
2013-11-18,"29,480","-1,395,900","1,516,200","4,050","-231,400","93,500","-226,100","-35,650","-34,850","159,250","-96,750","-27,600","269,500"
2013-11-15,"29,240","-2,336,900","550,750","1,714,200","-135,150","374,950","833,750","-2,300","-1,000","218,950","80,050","-8,100","386,250"
2013-11-14,"28,480","905,100","83,550","-975,250","-1,671,400","-894,650","164,200","58,150","-47,650","1,339,150","-21,100","7,700","-103,050"
2013-11-13,"28,380","1,677,450","-960,400","-807,000","-805,600","-512,500","85,000","3,700","14,500","181,600","83,800","6,150","116,050"
2013-11-12,"29,120","-2,233,000","2,819,750","-546,250","-318,800","-503,600","262,000","-31,100","-11,300","30,250","-34,650","-5,850","83,900"
2013-11-11,"28,560","-537,200","825,650","-280,700","-377,050","-387,600","181,350","-197,950",,"365,100","-8,750","1,000","34,250"
2013-11-08,"28,200","2,704,900","-782,650","-2,036,750","-920,750","-370,300","-825,850","-141,300","7,700","679,700","89,650","24,850","-422,150"
2013-11-07,"28,740","2,418,250","-99,500","-2,237,450","-1,547,300","-169,500","-521,250","-61,650","-13,300","685,850","-85,250","3,950","-402,550"
2013-11-06,"29,020","3,800,600","507,350","-4,339,350","-329,100","-463,350","-1,343,700","84,750","-42,850","-351,650","13,500","17,900","-2,033,700"
2013-11-05,"29,700","879,300","470,600","-1,317,750","-1,380,400","-136,250","-329,450","19,650","-65,250","226,000","-35,500","3,350","269,850"
2013-11-04,"29,980","-942,800","2,079,700","-672,100","-1,071,450","265,300","-576,900","-49,750",-850,"790,250","-460,250","-4,550","33,400"
2013-11-01,"30,000","-3,803,400","5,456,000","-1,658,550","-716,350","147,700","-1,184,600","-99,100","18,600","-212,600","6,550",-600,"220,450"
2013-10-31,"29,300","-284,300","1,407,650","-1,004,250","288,900","-435,550","-1,162,150","74,800","20,150","532,800","-97,950","-21,150","-339,250"
2013-10-30,"30,000","-3,868,150","4,937,550","-962,450","391,250","497,250","-1,440,950","-52,350","12,450","-309,900","-98,000","-8,950","223,500"
2013-10-29,"29,800","-2,137,600","2,855,350","-652,850","643,050","1,300","-1,644,350","-117,500","30,450","236,900","-51,350","-13,550","128,650"
2013-10-28,"29,640","-3,213,750","3,208,000","-76,150","224,150","42,950","-896,400","83,300","53,850","273,650","114,200","-32,300","208,700"
2013-10-25,"28,980","-202,350","1,614,100","-1,328,300","-315,900","-72,300","-701,150","42,850","6,050","-113,850","-79,800","-3,650",-450
2013-10-24,"28,980","262,100","1,694,150","-1,980,850","-77,450","-132,500","-1,122,300","-13,900","-30,100","-81,200","11,800","12,800","-489,750"
2013-10-23,"28,840","-185,250","2,761,050","-2,511,750","-5,000","-144,100","-2,012,350","-36,650","-10,500","-98,200","-28,550","-35,500","-180,950"
2013-10-22,"29,100","-291,150","655,000","-372,300","1,165,000","-144,000","-1,776,250","-148,750","-17,650","649,200","11,650","-3,200","-217,550"
2013-10-21,"29,280","-140,050","1,265,900","-1,117,050","92,850","109,800","-1,225,750","62,600",,"-148,950","17,750","-26,550","-27,950"
2013-10-18,"29,440","-1,641,300","2,487,250","-936,300","155,600","91,400","-1,160,150","-15,200","-153,650","11,000","91,250",-900,"118,250"
2013-10-17,"29,260","-1,717,200","3,691,600","-1,916,100","40,000","96,500","-2,329,100","-101,800","-15,050","-76,100","-41,500","-16,800","223,200"
2013-10-16,"29,000","-894,400","2,620,300","-1,517,800","59,200","64,350","-1,052,900","30,500","40,750","-3,250","-206,800","-1,300","54,450"
2013-10-15,"29,140","-3,129,200","4,490,350","-1,098,850","52,450","55,950","-1,344,050","27,450","-19,900","436,000","-259,200","-3,100","42,950"
2013-10-14,"28,760","-418,200","2,859,100","-2,405,500","159,500","-140,900","-2,547,300","13,450","-13,000","146,050","-32,100","-3,300","19,450"
2013-10-11,"28,860","-956,450","1,249,650","-192,100","756,000","-61,950","-746,650","78,800","-141,150","260,100","-98,050","-3,050","-123,000"
2013-10-10,"28,600","24,150","1,657,150","-1,934,650","-1,449,350","-218,800","-575,150","70,850","2,000","284,100","258,950","-5,600","-56,300"
2013-10-08,"28,600","-841,900","1,536,050","-895,300","-148,100","57,950","-909,700","28,550",,"131,350","201,750",-600,"-29,050"
2013-10-07,"28,720","-1,099,550","1,718,600","-352,600","-657,200","104,000","-90,100","-69,250","30,200","373,750","-255,100","-11,350","-144,950"
2013-10-04,"28,360","-2,210,400","2,300,250","77,550","-552,500","258,600","50,500","-95,500","21,000","111,200","-134,400","-33,000","252,600"
2013-10-02,"28,360","-7,105,200","4,839,600","2,389,550","-19,000","465,800","-134,950","140,750","92,900","1,612,800","-39,900","-84,050","172,350"
2013-10-01,"27,640","-2,891,350","3,543,200","-651,050","4,600","114,000","-177,400","-52,600","6,250","-41,300","29,100","-29,900","-356,650"
2013-09-30,"27,340","-1,631,250","1,991,250","-411,950","-38,650","-34,050","-346,750","6,700","5,100","269,000","59,650","-7,700","-302,200"
2013-09-27,"27,320","-72,750","2,721,400","-2,574,450","-157,800","-141,300","-1,217,850","3,600","-43,250","-609,900","-72,500","-1,700",-700
2013-09-26,"27,440","151,650","1,546,900","-1,716,000","201,300","-261,550","-1,151,500","-61,450","1,850","-436,900","13,100","4,350","33,300"
2013-09-25,"27,280","406,350","807,500","-1,200,400","49,600","34,600","-1,314,750","-39,550","1,850","6,400","-22,850","9,400","96,450"
2013-09-24,"27,460","-401,000","2,348,400","-2,001,100","-953,750","-261,900","-832,800","28,150","-25,750","311,750","103,550","-49,850","-263,750"
2013-09-23,"27,200","2,714,300","-125,000","-2,632,700","199,950","-899,300","-955,850","-229,800","-29,200","-339,850","-12,450","55,850","-165,250"
2013-09-17,"27,720","2,449,600","2,136,400","-4,579,150","-179,650","-409,050","-2,599,000","85,350","-234,700","-550,900","-59,600","52,750","-490,250"
2013-09-16,"28,500","-2,426,650","5,156,250","-2,575,400","496,750","-439,000","-2,308,050","-113,400","-194,750","159,700","-132,400","-21,800","-192,550"
2013-09-13,"28,120","-1,298,900","6,838,900","-5,409,250","513,000","-727,650","-3,883,250","-102,200","10,000","-647,950","-111,300","-19,450","-458,050"
2013-09-12,"28,200","-4,088,350","7,357,900","-2,705,050","1,182,650","-299,550","-2,891,050","-101,600","-60,050","-480,250","-515,000","-49,500","-53,250"
2013-09-11,"28,040","-2,538,650","5,951,950","-3,103,500","51,100","40,600","-2,755,300","-119,950","9,950","-254,650","-223,200","-86,600","-141,350"
2013-09-10,"27,920","-4,894,550","6,813,200","-1,768,550","289,350","175,450","-1,752,800","-130,750","-83,700","-471,800","-124,350","-25,750","157,800"
2013-09-09,"27,460","-1,925,800","2,845,350","-868,900","380,400","699,750","-1,295,250","-73,200","4,750","-658,050","-44,150","-6,500","9,000"
2013-09-06,"27,380","-2,368,000","3,402,500","-873,150","-98,050","-50,400","-1,092,500","-10,050","30,000","131,000","-147,950","-13,400","94,550"
2013-09-05,"27,300","-3,638,000","4,248,200","-179,000","-287,650","-621,450","-415,050","57,350","91,200","715,550","-398,450","-32,750","173,950"
2013-09-04,"26,800","-111,500","1,812,100","-1,596,050","87,250","-172,900","-717,150","43,000","-93,850","-672,600","-100,700","-3,850","-145,900"
2013-09-03,"26,740","-78,400","2,222,050","-2,174,150","428,450","-464,700","-1,394,550","-117,250","-95,200","-639,700","-162,000","192,500","-113,600"
2013-09-02,"27,020","-690,350","1,833,300","-1,031,200","476,250","207,650","-1,567,900","-39,800","-27,550","60,950","-85,900","-25,850","-133,700"
2013-08-30,"27,360","-6,128,300","8,728,900","-2,231,750","-228,750","-160,250","-835,700","37,200","-4,000","-871,800","-265,400","-103,450","-212,750"
2013-08-29,"26,880","-6,719,350","5,941,150","933,600","341,800","631,950","-62,000","79,900","-34,750","-190,550","-102,250","-53,150","14,900"
2013-08-28,"26,180","-2,306,350","2,955,750","-538,650","-254,000","-50,000","-671,750","91,900","6,300","277,550","-105,300","-5,450","15,650"
2013-08-27,"26,080","-2,173,250","1,918,600","261,150","-347,850","10,750","-178,400","-8,850","6,900","748,050","31,150","-37,650","15,250"
2013-08-26,"26,000","-2,003,750","3,057,450","-833,850","8,050","21,800","-870,850","8,500","3,800","36,300","-197,300","-22,550","-20,400"
2013-08-23,"25,900","-4,363,850","6,027,450","-1,586,450","-1,657,450","93,750","-377,400","-87,700","12,850","62,350","-27,850","-49,300","584,700"
2013-08-22,"25,100","-619,950","553,850","127,000","-984,000","62,250","462,900","-38,350","6,650","385,900","-61,950","1,050","99,450"
2013-08-21,"25,120","1,264,750","-777,550","-529,350","-411,850","144,300","-124,100","-65,150","-36,950","-34,500","-46,200","88,350","217,600"
2013-08-20,"25,380","-659,300","2,896,200","-2,004,600","-368,550","-359,500","-1,067,950","-107,800","-3,700","92,250","-208,800","-23,500","4,000"
2013-08-19,"25,720","710,200","1,167,700","-1,913,350","-473,450","-227,750","-566,400","-18,100","16,150","-536,200","6,000","29,450","-62,700"
2013-08-16,"25,900","-1,299,900","1,270,150","58,100","-278,700","-162,850","128,350","65,200","47,000","260,300","-15,900","-12,450","-17,350"
2013-08-14,"26,000","-3,138,450","4,967,150","-1,639,950","-410,700","-754,050","-699,950","60,300","19,000","128,550","-112,050","-76,700","-34,000"
2013-08-13,"25,800","-5,268,600","2,555,650","2,692,900","238,050","492,450","123,700","113,000","55,300","990,400","59,600","-39,550","540,300"
2013-08-12,"24,640","-210,750","-1,758,450","2,007,750","127,100","289,800","778,150","-19,850","29,750","647,800","-31,650","-6,900","50,950"
2013-08-09,"24,600","-33,850","-187,650","194,500","-505,100","78,650","-446,800","11,550","8,600","907,850","19,750","7,250","215,100"
2013-08-08,"24,340","3,421,500","-6,505,500","2,971,650","214,650","-130,700","391,650","17,850","76,700","1,556,450","35,400","76,950","633,150"
2013-08-07,"24,440","6,324,600","-6,628,000","252,800","263,050","-367,250","-772,150","-7,950","18,500","1,101,950","14,300","36,300","103,850"
2013-08-06,"25,080","2,653,900","-3,218,400","600,400","-637,650","-194,650","281,200","8,200","-16,200","1,227,100","-37,550","1,650","24,700"
2013-08-05,"25,480","1,157,600","222,450","-1,368,400","104,850","-320,400","-883,650","47,400","3,700","-193,150","-20,250","8,600","-33,000"
2013-08-02,"25,720","43,100","74,450","-116,800","-402,800","161,250","-126,750","20,950","1,000","244,000","8,950","-9,700","168,250"
2013-08-01,"25,600","1,128,150","-716,300","-427,050","-31,050","41,400","-260,950","-3,700",,"101,850","17,500","-2,300","-121,900"
2013-07-31,"25,600","951,100","-1,452,900","351,500","-326,850","70,450","250,050","-43,450",-150,"394,450","156,300","-6,000","18,500"
2013-07-30,"25,800","-383,400","-1,595,350","2,007,850","612,250","375,900","195,300","-14,200","-8,400","263,650","-9,400","-19,700","232,550"
2013-07-29,"25,660","2,156,850","-822,500","-1,377,550","416,950","-516,850","-1,386,900","-209,550","-2,950","865,950","-19,650","62,850","-556,600"
2013-07-26,"26,060","681,850","1,183,250","-1,792,150","21,200","-466,100","-861,900","117,900","-19,300","350,800","-55,100","-17,850","-813,900"
2013-07-25,"26,300","-1,016,950","1,636,950","-570,450","-284,700","-194,850","-922,400","-45,200","6,200","828,850","-24,950","-24,600","-9,650"
2013-07-24,"26,300","-1,042,300","1,101,150","-53,750","-85,400","-148,700","-635,950","-19,700","18,150","782,450","-7,500","2,400","-1,350"
2013-07-23,"26,140","-3,849,750","3,985,200","-93,200","-115,700","-53,800","-451,700","50,900","12,600","434,850","34,000","-76,250","-2,000"
2013-07-22,"25,460","598,150","232,400","-863,450","-153,950","-46,200","-225,150","31,800","-9,500","-180,900","14,050","18,850","-237,900"
2013-07-19,"25,460","3,926,450","-2,927,700","-1,050,900","196,250","-253,800","-530,950","122,150","-9,100","-253,600","-28,750","80,900","-221,850"
2013-07-18,"25,840","3,759,200","-4,242,850","340,450","-390,400","-62,300","-370,950","65,200","-12,250","808,600","73,500","69,700","290,300"
2013-07-17,"26,400","-2,913,100","437,550","2,353,600","-7,450","419,300","63,800","-15,200","-15,400","1,675,450","155,250","-33,300","193,450"
2013-07-16,"25,960","1,665,950","-524,700","-1,167,050","-138,700","-99,100","-1,206,150","73,450","-7,400","177,750","-22,650","48,450","95,950"
2013-07-15,"26,260","183,300","898,700","-1,040,300","162,050","-273,500","-351,500","24,300","-53,150","-580,200","-36,900","-4,800","18,350"
2013-07-12,"26,240","-881,750","3,009,450","-2,048,050","-214,800","-279,400","-1,698,050","-52,800","-10,000","415,250","-26,900","-52,750","-113,450"
2013-07-11,"26,240","-4,746,600","2,253,250","2,518,900","1,168,550","620,950","208,750","-28,300","-7,150","451,250","-10,550","-15,000","-54,300"
2013-07-10,"24,960","-769,650","970,350","-247,600","51,050","-3,500","-1,015,750","-149,750","-85,350","979,350","39,850","7,050","-7,650"
2013-07-09,"24,740","537,250","-2,780,700","1,929,300","476,350","710,750","-262,000","-53,900","102,500","741,800","299,050","15,100","98,550"
2013-07-08,"24,520","3,843,200","-6,227,500","2,314,600","1,100,500","115,450","1,490,800","-59,350","30,900","-807,100","66,250","3,450","155,600"
2013-07-05,"25,340","11,619,900","-5,162,500","-6,591,100","995,950","-896,700","-2,467,050","-163,900","11,950","-2,761,150","-4,200","137,900","-1,133,900"
2013-07-04,"26,340","349,250","-1,077,600","634,650","396,250","-93,000","-562,900","-97,600","6,450","190,300","82,500","11,200","762,650"
2013-07-03,"26,020","2,559,800","-2,169,100","-420,650","-80,950","-148,600","-290,250","-78,150","2,400","440,500","15,550","14,400","-171,300"
2013-07-02,"26,700","-469,000","-404,800","710,900","489,250","-254,700","72,500","56,100","-2,950","289,550","187,950","-25,050","79,550"
2013-07-01,"26,520","932,600","-266,200","-681,550","-308,750","-253,650","-769,000","49,300","1,100","412,500","-1,000","16,150","104,100"
2013-06-28,"26,840","-937,150","4,025,050","-2,742,350","-405,350","-697,750","-1,241,150","-108,100","-54,750","53,700","-325,700","-19,850","-186,100"
2013-06-27,"26,780","-2,870,050","3,625,950","-1,450,750","-1,355,300","-773,500","-86,700","205,800","13,350","892,150","702,400","-7,550","48,100"
2013-06-26,"25,220","5,891,350","-5,470,900","-579,750","38,750","-1,290,900","18,850","-265,050","-23,300","124,900","83,500","75,800","591,050"
2013-06-25,"25,940","1,058,350","-3,946,000","2,657,150","1,615,600","148,300","60,000","-258,100","-31,250","369,750","221,850","8,650","579,400"
2013-06-24,"26,260","1,031,450","-1,939,050","732,300","144,650","-109,150","254,250","-28,250","8,350","373,450","169,400","5,900","69,400"
2013-06-21,"26,500","228,750","-8,597,400","8,355,400","798,450","676,000","2,761,700","311,250","-55,650","2,525,150","1,300","11,950","1,152,300"
2013-06-20,"26,580","2,525,000","-6,652,700","3,813,200","198,750","188,600","2,071,900","-75,550","-7,500","869,800","292,600","21,900","565,900"
2013-06-19,"27,380","1,539,450","-3,237,350","1,557,950","9,800","215,700","669,700","28,300","105,000","490,750","111,350","28,600","-16,800"
2013-06-18,"27,740","281,000","-2,471,100","2,215,950","40,300","594,600","502,650","176,750","57,750","275,750","-36,150","10,300","183,400"
2013-06-17,"27,320","-1,620,250","79,750","1,503,750","594,800","435,900","601,050","105,000","20,000","-793,450","23,850","12,900","559,550"
2013-06-14,"27,380","823,450","-4,242,350","2,990,100","322,250","258,050","1,383,350","-2,700","20,950","-572,600","363,300","65,500","1,588,550"
2013-06-13,"27,140","12,432,900","-16,755,500","3,478,200","-62,400","1,229,300","1,557,950","337,400","148,700","-166,300","792,600","51,800","372,150"
2013-06-12,"27,700","5,737,150","-9,213,450","3,260,800","424,050","261,500","1,190,250","216,850","17,900","296,000","180,400","35,100","838,600"
2013-06-11,"27,780","8,852,250","-11,774,650","2,862,850","264,400","-387,200","3,370,150","-147,100","184,550","-415,550","-34,750","94,300","14,500"
2013-06-10,"28,500","6,992,350","-8,171,250","1,124,100","-110,000","36,700","1,599,350","65,150","3,100","-637,450","-57,550","112,350","90,150"
2013-06-07,"28,540","19,822,950","-22,785,950","2,013,950","1,930,000","339,800","872,200","-115,450","-73,450","831,600","849,700","99,350","-1,792,000"
2013-06-05,"30,420","-716,750","-670,350","1,646,450","-626,200","331,750","947,400","-12,550","-24,500","1,001,450","-254,550","-4,800",250
2013-06-04,"30,800","-90,600","608,600","-521,450","-147,550","59,000","-982,550","67,350","2,150","616,400","-4,100","7,550","-111,850"
2013-06-03,"30,640","-1,079,050","1,082,550","-11,250","299,900","218,300","-895,500","-33,300","2,000","141,750","-19,050","26,800","222,700"
2013-05-31,"30,760","-3,840,950","2,406,800","1,497,900","343,800","-266,400","331,100","-91,200","-3,500","1,098,100","-44,750","-19,000","62,200"
2013-05-30,"30,880","-9,315,900","6,581,400","2,859,350","-271,900","855,000","410,450","-62,700","3,950","1,370,200","-35,300","-89,550","196,400"
2013-05-29,"30,240","-4,420,350","3,274,400","1,367,700","-212,550","521,750","-142,550","110,050","33,900","318,100","-109,500","-112,250","640,500"
2013-05-28,"29,680","181,550","-1,562,800","1,382,100","119,550","-4,400","12,950","-36,550","-9,950","1,355,150",-900,50,"-62,150"
2013-05-27,"29,780","-698,200","-220,550","922,600","9,850","136,450","198,150","27,700","-2,750","676,500","2,200","-6,050","-60,500"
2013-05-24,"29,720","2,393,300","-2,174,850","-241,900","-142,450","144,450","-73,150","62,700","10,300","-185,750","15,750","7,700","-12,600"
2013-05-23,"29,680","2,367,100","-2,926,500","521,900","-296,850","104,350","265,400","-38,050",,"489,150","33,800","3,700","20,650"
2013-05-22,"30,180","-1,663,250","1,003,250","920,850","596,050","-286,050","334,800","-41,400","-101,700","470,150","-265,400","4,550",350
2013-05-21,"29,840","1,220,250","-545,400","-680,050","324,450","-122,050","-832,050","8,050",,"331,450","-26,200","31,400","-426,400"
2013-05-20,"29,940","373,100","1,700","-397,550","-717,750","226,050","-222,750","11,100","2,750","323,850","34,500","-11,750","-6,150"
2013-05-16,"30,160","-3,127,300","1,903,850","1,559,450","553,600","325,550","-101,100","-135,800","31,400","664,700","-315,800","-20,200","229,600"
2013-05-15,"30,000","-86,950","1,312,950","-1,196,150","-438,900","-107,600","-47,850",600,950,"-467,350","-37,650","7,800","-116,300"
2013-05-14,"30,000","-2,485,500","2,359,650","21,700","-176,850","23,700","38,950","-13,200","-2,500","138,750","76,650","27,500","57,150"
2013-05-13,"29,540","1,201,950","-1,219,000","77,850","-591,900","227,700","274,700","42,950","-2,550","241,800","-72,450","11,650","-17,950"
2013-05-10,"29,520","4,197,800","-2,443,900","-1,824,900","-83,050","-178,000","-463,500","6,500",-50,"-260,450","70,050",950,"-768,450"
2013-05-09,"30,300","-2,158,200","2,338,700","-144,050","157,600","-28,350","-252,900","-53,900","-8,900","-185,800","-19,300","-17,150","56,250"
2013-05-08,"29,760","4,441,050","-4,535,000","-82,350","316,400","-26,000","-324,900","99,800","-1,050","-89,300","150,150","26,150","-21,950"
2013-05-07,"29,860","2,558,150","-2,830,350","210,350","309,550","-221,150","-10,900","20,600","13,650","-71,900","5,350","56,500","150,100"
2013-05-06,"30,280","817,400","-176,600","-228,000","200,550","271,100","-746,200","47,250","-5,000","-117,400","-407,550","-5,250","74,950"
2013-05-03,"30,700","-1,920,650","1,728,650","155,350","-217,450","343,300","256,300","-30,250",-200,"-307,400","47,600","-10,950","9,000"
2013-05-02,"30,560","-1,859,950","1,469,450","401,050","-536,450","207,100","109,550","-12,400",-400,"314,150","-2,500","-8,050","329,350"
2013-04-30,"30,400","-6,222,750","1,855,150","4,497,400","362,100","934,300","1,695,150","314,150","26,050","523,550","-90,550","-39,250","443,900"
2013-04-29,"29,620","234,350","-1,740,150","1,447,400","471,050","761,100","474,400","19,050",-100,"-147,550","51,000","7,400","-265,050"
2013-04-26,"29,720","1,389,850","-2,817,350","1,347,000","332,350","-73,700","976,400","-7,400","-12,250","-187,550","78,750","1,750","233,250"
