Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2023-01-09,"60,700","-5,668,129","3,053,464","2,607,845","1,424,085","505,459","423,878","-11,121","-18,495","212,902","23,431","-16,611","71,137"
2023-01-06,"59,000","-2,748,381","2,308,298","409,379","-327,739","145,200","199,365","-5,752","15,199","-9,362","39,282","-8,578","392,468"
2023-01-05,"58,200","-1,307,161","3,522,658","-2,218,331","-2,567,878","19,881","127,628","4,702",-627,"-109,879","8,838","-6,004","307,842"
2023-01-04,"57,800","-3,014,290","3,100,164","-158,714","-1,309,017",100,"511,661","-21,600","97,055","117,520","81,896","-9,056","445,567"
2023-01-03,"55,400","1,259,769","308,303","-1,573,764","-1,744,990","25,101","-33,644","2,108","56,542","194,322","-3,830","9,522","-73,203"
2023-01-02,"55,500","1,062,403","-614,097","-478,123","-556,632","-51,578","187,145","17,267","1,790","-269,347","25,153","4,664","193,232"
2022-12-29,"55,300","3,368,914","-1,526,713","-1,877,101","-2,167,960","-22,668","108,622","31,014","24,014","168,093","18,508","16,392","-18,216"
2022-12-28,"56,600","5,152,760","-2,941,096","-2,344,111","-2,374,172","-91,419","197,392","104,417","43,319","-193,776","116,833","15,614","-29,872"
2022-12-27,"58,100","-2,726,295","-1,527,383","4,605,420","4,054,299","401,955","197,367","-11,641","-5,802","-126,374","-343,176","-8,566","95,616"
2022-12-26,"57,900","-1,249,408","-1,069,029","2,512,328","1,931,008","369,502","70,280","25,031",-880,"-5,866","-184,725","-9,166","123,253"
2022-12-23,"58,100","68,957","-370,236","406,082","703,451","37,904","27,531","4,028",254,"155,387","-97,666","-7,137","-522,473"
2022-12-22,"59,100","-1,503,341","-854,728","2,537,919","2,488,560","-24,993","265,554","-6,000",-200,"-83,614","-176,065","-3,785","-101,388"
2022-12-21,"58,000","1,483,820","-1,697,288","240,493","769,298","-48,306","-49,860","8,525",33,"-457,503","-32,871","5,846","18,306"
2022-12-20,"58,600","1,322,670","-1,543,341","205,141","313,887","-44,511",319,"7,548",170,"-73,271","12,218","3,312",999
2022-12-19,"59,500","-382,143","-163,855","572,945","369,051","-44,619","13,731",-7,"25,234","86,427","-18,543","-8,404","123,128"
2022-12-16,"59,500","386,012","2,530,365","-2,916,881","-1,908,980","-37,357","-202,644","-38,478",404,"-577,055","4,795","-4,291","-152,771"
2022-12-15,"59,300","1,523,458","-24,972","-1,508,806","-1,097,509","-34,110","2,809","7,880",260,"-290,142","-1,197","11,517","-97,994"
2022-12-14,"60,500","-2,348,381","1,389,371","976,736","909,270","9,181","58,035","-7,014","-2,697","-76,684","-7,025","-10,701","86,645"
2022-12-13,"59,700","27,305","-67,782","22,156","171,739","-3,373","-2,052","5,006","3,988","-48,422","13,327","4,994","-104,730"
2022-12-12,"59,500","1,296,914","-741,629","-549,908","-159,671","-6,517","-51,845","-5,912","6,272","-421,555","-5,970",593,"89,320"
2022-12-09,"60,400","-2,425,184","201,651","2,256,241","1,783,839","41,399","128,119","-15,000","4,664","232,035","-26,360","-6,348","81,185"
2022-12-08,"59,200","244,242","-463,597","215,875","713,678","111,107","-213,669","-23,657","5,702","-493,510","2,197","1,283","116,224"
2022-12-07,"58,900","804,106","-1,149,221","338,574","809,529","-23,320","-17,993","8,275",-354,"-326,887","-1,924","8,465","-110,676"
2022-12-06,"59,200","2,747,545","-1,952,566","-785,727","-252,977","-148,771","-104,739","-8,681","-21,870","-5,562","-21,719","12,467","-243,127"
2022-12-05,"60,300","1,120,118","-1,764,824","632,722","774,209","1,091","89,625","3,923",-687,"-213,104","12,144",-160,"-22,335"
2022-12-02,"60,400","4,446,140","-2,486,484","-2,044,276","-1,212,292","-61,900","4,320","12,861",305,"-540,821","63,463","21,157","-246,749"
2022-12-01,"62,600","-3,479,331","3,126,481","233,136","788,921","5,343","78,819","-37,240",616,"-326,614","139,517","-19,803","-276,709"
2022-11-30,"62,200","-3,060,362","5,573,538","-2,227,487","-2,125,032","-24,125","23,046","-13,639","7,276","-23,694","-271,944","-13,745","-71,319"
2022-11-29,"60,600","-341,037","-273,889","611,244","615,030","-45,259","-9,484","-2,287","-1,138","-14,972","22,451","-18,769","69,354"
2022-11-28,"60,100","1,033,736","202,391","-1,314,045","-410,753","-102,917","-278,654","-14,845",-897,"-350,789","72,295","5,623","-155,190"
2022-11-25,"61,000","-14,737","421,136","-380,721","-90,486","-37,369","-61,297","2,518","-19,694","-235,913","-31,382","5,704","61,520"
2022-11-24,"61,400","-558,200","573,154","54,595","146,613","-63,325","10,061",-517,"4,930","-120,572","-67,028","-2,521","77,405"
2022-11-23,"61,000","-317,260","117,330","160,433","403,014","-20,162","-5,976","5,484",313,"-245,066","42,082","-2,585","22,826"
2022-11-22,"60,600","282,185","-419,705","142,853","394,281","-30,668","60,952","8,958","-59,628","-207,903","-3,134","-2,199","-23,139"
2022-11-21,"61,400","272,148","-1,022,799","742,563","1,150,811","32,248","-44,988","4,676","-5,676","-256,574","7,153",935,"-137,934"
2022-11-18,"61,800","-784,388","705,496","76,930","250,611","-39,131","41,799","-1,000",163,"-159,462","3,328","-1,366","-16,050"
2022-11-17,"61,400","1,735,066","-1,846,504","102,220","112,756","-12,883","-78,196","6,617","-1,691","-18,675","8,436",782,"94,292"
2022-11-16,"62,700","-924,484","1,049,566","-82,448","523,901","9,185","-127,059","-5,054",326,"-498,254","-36,893","-5,741","14,507"
2022-11-15,"62,400","-794,901","650,558","175,090","1,144,849",636,"-285,272","18,159","-4,583","-507,543","-19,559","-11,188","-191,156"
2022-11-14,"61,900","1,023,384","-207,490","-805,915","336,238","-128,294","-452,017","11,958","3,636","-240,652","-15,364","5,385","-336,784"
2022-11-11,"62,900","-6,136,093","2,961,635","3,313,014","3,395,447","34,291","-27,358","-20,995","-19,657","-95,312","-105,692","-32,864","46,598"
2022-11-10,"60,400","3,009,695","-3,989,560","905,706","1,303,579","-14,930","-364,881","7,348",443,"151,003","60,885","13,274","-176,856"
2022-11-09,"62,000","-2,093,780","268,181","1,789,078","2,142,786","-65,269","-71,922","-4,594","10,265","-191,202","53,583","-17,062","-30,986"
2022-11-08,"61,800","-5,046,453","2,886,571","2,339,446","2,095,830","64,623","188,486","-16,705",-362,"-186,013","-167,921","-11,643","193,587"
2022-11-07,"60,200","-2,233,472","934,401","1,224,403","1,259,579","26,983","93,757","-4,118","1,344","-411,051","74,939",-271,"257,909"
2022-11-04,"59,400","-18,923","-211,118","218,779","168,084","15,343","61,731","5,456","9,899","-10,315","18,587","-7,325","-31,419"
2022-11-03,"59,200","988,288","1,424,363","-2,439,482","-2,911,324","68,361","104,781",-556,"-18,221","476,279","14,388","12,443","-158,802"
2022-11-02,"59,600","-33,782","1,492,749","-1,717,632","-1,832,401","44,010","82,366","5,008",-247,"94,076","266,990","-8,325","-110,444"
2022-11-01,"60,000","-1,770,450","688,440","974,290","265,239","185,272","249,232","4,605","-3,885","269,912","110,469","-2,749","3,915"
2022-10-31,"59,400","-4,321,399","4,163,809","254,919","-40,456","181,894","185,679","-27,530","-4,530","-249,721","-82,611","-14,718","209,583"
2022-10-28,"57,300","1,709,646","-2,548,486","858,649","1,994,849","56,754","-490,020","11,333","-2,078","-350,828","-30,337","10,528","-361,361"
2022-10-27,"59,500","-1,675,638","-349,114","1,925,573","1,822,598","-74,807","270,740","22,649","-2,755","189,711","104,759","-5,580","-302,563"
2022-10-26,"59,400","-6,061,250","5,274,206","804,940","-361,561","120,233","714,672","-28,485","-21,160","148,882","-9,832","-8,064","232,359"
2022-10-25,"57,700","-2,113,233","801,943","1,317,069","683,380","-13,907","564,853","6,058","-21,586","-233,866","4,344","-10,123","332,137"
2022-10-24,"57,500","-5,166,067","3,625,696","1,580,302","1,057,200","34,051","412,736","-18,892","-4,279","-72,506","-1,878","-38,053","171,992"
2022-10-21,"55,900","-1,452,608","213,210","1,244,441","1,041,247","33,582","68,573","-8,897",21,"146,146","-3,197","-1,846","-36,231"
2022-10-20,"55,500","336,586","1,153,283","-1,481,023","-1,151,847","-29,331","17,257","1,618","-9,795","-157,155","-12,255","3,409","-151,770"
2022-10-19,"55,800","1,089,003","-939,331","-151,654","-545,911","46,017","353,556","5,567","1,895","190,957","-3,850","5,832","-203,735"
2022-10-18,"56,500","1,611,334","-1,250,130","-388,660","343,822","-74,621","-109,606","2,589","-7,250","-451,834","15,643","11,813","-91,760"
